Customer ID,Recency,Frequency,Monetary,Days_Since_Last_Purchase,Churn_Risk,R_score,F_score,M_score,RFM_Score,Segment
12411.0,44,1,346.9,44,Low Risk,3,1,2,312,Regular Customers
12412.0,37,3,1370.05,37,Low Risk,3,3,3,333,Loyal Customers
12413.0,37,1,241.35,37,Low Risk,3,1,1,311,Regular Customers
12414.0,98,3,390.0,98,High Risk,2,3,2,232,Loyal Customers
12415.0,10,7,19543.84,10,Low Risk,4,4,4,444,VIP Customers
12416.0,291,1,202.56,291,High Risk,1,1,1,111,At Risk Customers
12417.0,45,11,3148.31,45,Low Risk,3,4,4,344,Loyal Customers
12418.0,48,3,1352.62,48,Low Risk,3,3,3,333,Loyal Customers
12419.0,20,2,503.01,20,Low Risk,3,2,2,322,Regular Customers
12421.0,50,2,291.56,50,Low Risk,3,2,1,321,Regular Customers
12422.0,29,14,4428.24,29,Low Risk,3,4,4,344,Loyal Customers
12423.0,22,2,763.08,22,Low Risk,3,2,3,323,Regular Customers
12424.0,57,2,1579.07,57,Low Risk,2,2,3,223,At Risk Customers
12425.0,83,1,964.21,83,Low Risk,2,1,3,213,At Risk Customers
12426.0,297,1,762.48,297,High Risk,1,1,3,113,At Risk Customers
12427.0,6,1,303.5,6,Low Risk,4,1,1,411,Regular Customers
12429.0,0,5,3735.51,0,Low Risk,4,3,4,434,Loyal Customers
12431.0,8,13,4370.52,8,Low Risk,4,4,4,444,VIP Customers
12433.0,1,5,7205.39,1,Low Risk,4,3,4,434,Loyal Customers
12434.0,16,1,297.29,16,Low Risk,4,1,1,411,Regular Customers
12435.0,31,4,6096.04,31,Low Risk,3,3,4,334,Loyal Customers
12437.0,30,21,7731.99,30,Low Risk,3,4,4,344,Loyal Customers
12439.0,317,2,1142.88,317,High Risk,1,2,3,123,At Risk Customers
12440.0,97,2,859.2,97,High Risk,2,2,3,223,At Risk Customers
12441.0,1,1,173.55,1,Low Risk,4,1,1,411,Regular Customers
12443.0,367,1,485.31,367,High Risk,1,1,2,112,At Risk Customers
12445.0,55,1,301.58000000000004,55,Low Risk,2,1,1,211,At Risk Customers
12449.0,45,2,768.6,45,Low Risk,3,2,3,323,Regular Customers
12450.0,34,3,490.32,34,Low Risk,3,3,2,332,Loyal Customers
12451.0,98,3,3634.36,98,High Risk,2,3,4,234,Loyal Customers
12454.0,30,4,13151.44,30,Low Risk,3,3,4,334,Loyal Customers
12455.0,80,4,3413.09,80,Low Risk,2,3,4,234,Loyal Customers
12457.0,70,1,632.68,70,Low Risk,2,1,2,212,At Risk Customers
12458.0,62,2,830.09,62,Low Risk,2,2,3,223,At Risk Customers
12459.0,240,1,454.36,240,High Risk,1,1,2,112,At Risk Customers
12460.0,91,1,326.65,91,High Risk,2,1,2,212,At Risk Customers
12466.0,317,1,56.73,317,High Risk,1,1,1,111,At Risk Customers
12467.0,58,1,132.8,58,Low Risk,2,1,1,211,At Risk Customers
12468.0,161,3,2941.2,161,High Risk,1,3,4,134,Loyal Customers
12469.0,157,2,3070.54,157,High Risk,1,2,4,124,At Risk Customers
12470.0,324,1,211.95,324,High Risk,1,1,1,111,At Risk Customers
12471.0,9,49,20129.54,9,Low Risk,4,4,4,444,VIP Customers
12472.0,4,13,11308.48,4,Low Risk,4,4,4,444,VIP Customers
12474.0,13,13,5048.66,13,Low Risk,4,4,4,444,VIP Customers
12475.0,44,1,426.26,44,Low Risk,3,1,2,312,Regular Customers
12476.0,31,12,7267.49,31,Low Risk,3,4,4,344,Loyal Customers
12477.0,34,3,7056.63,34,Low Risk,3,3,4,334,Loyal Customers
12480.0,34,3,2183.2200000000003,34,Low Risk,3,3,4,334,Loyal Customers
12481.0,0,6,6765.07,0,Low Risk,4,4,4,444,VIP Customers
12482.0,211,29,23691.4,211,High Risk,1,4,4,144,Loyal Customers
12483.0,13,11,2612.2000000000003,13,Low Risk,4,4,4,444,VIP Customers
12484.0,118,6,1826.78,118,High Risk,2,4,4,244,Loyal Customers
12485.0,164,1,708.1,164,High Risk,1,1,3,113,At Risk Customers
12486.0,66,1,1037.28,66,Low Risk,2,1,3,213,At Risk Customers
12487.0,365,1,285.29999999999995,365,High Risk,1,1,1,111,At Risk Customers
12490.0,13,11,4405.71,13,Low Risk,4,4,4,444,VIP Customers
12492.0,38,1,452.0,38,Low Risk,3,1,2,312,Regular Customers
12494.0,0,3,626.77,0,Low Risk,4,3,2,432,Loyal Customers
12495.0,275,1,357.4,275,High Risk,1,1,2,112,At Risk Customers
12496.0,255,2,45.34,255,High Risk,1,2,1,121,At Risk Customers
12497.0,35,2,5205.400000000001,35,Low Risk,3,2,4,324,Regular Customers
12499.0,195,1,393.72,195,High Risk,1,1,2,112,At Risk Customers
12500.0,70,8,1697.39,70,Low Risk,2,4,3,243,Loyal Customers
12503.0,219,1,1126.0,219,High Risk,1,1,3,113,At Risk Customers
12504.0,52,2,297.0,52,Low Risk,3,2,1,321,Regular Customers
12505.0,43,1,955.2,43,Low Risk,3,1,3,313,Regular Customers
12507.0,219,1,539.25,219,High Risk,1,1,2,112,At Risk Customers
12510.0,94,7,4195.45,94,High Risk,2,4,4,244,Loyal Customers
12511.0,63,1,3084.02,63,Low Risk,2,1,4,214,At Risk Customers
12514.0,276,1,580.08,276,High Risk,1,1,2,112,At Risk Customers
12516.0,65,2,1336.56,65,Low Risk,2,2,3,223,At Risk Customers
12519.0,111,1,385.7,111,High Risk,2,1,2,212,At Risk Customers
12523.0,9,12,2562.58,9,Low Risk,4,4,4,444,VIP Customers
12524.0,23,9,6640.39,23,Low Risk,3,4,4,344,Loyal Customers
12525.0,133,3,973.73,133,High Risk,2,3,3,233,Loyal Customers
12527.0,129,2,386.8,129,High Risk,2,2,2,222,At Risk Customers
12529.0,163,1,316.48,163,High Risk,1,1,2,112,At Risk Customers
12530.0,50,5,2096.98,50,Low Risk,3,3,4,334,Loyal Customers
12531.0,321,1,1807.98,321,High Risk,1,1,4,114,At Risk Customers
12533.0,262,2,1367.89,262,High Risk,1,2,3,123,At Risk Customers
12537.0,43,1,732.94,43,Low Risk,3,1,3,313,Regular Customers
12538.0,13,1,276.5,13,Low Risk,4,1,1,411,Regular Customers
12539.0,85,3,5646.400000000001,85,Low Risk,2,3,4,234,Loyal Customers
12540.0,13,16,8854.25,13,Low Risk,4,4,4,444,VIP Customers
12542.0,119,2,481.88,119,High Risk,2,2,2,222,At Risk Customers
12543.0,83,1,980.25,83,Low Risk,2,1,3,213,At Risk Customers
12547.0,135,1,175.78,135,High Risk,2,1,1,211,At Risk Customers
12549.0,210,6,1575.68,210,High Risk,1,4,3,143,Loyal Customers
12553.0,20,2,916.47,20,Low Risk,3,2,3,323,Regular Customers
12554.0,83,1,468.5,83,Low Risk,2,1,2,212,At Risk Customers
12555.0,317,1,129.23,317,High Risk,1,1,1,111,At Risk Customers
12557.0,6,4,6725.18,6,Low Risk,4,3,4,434,Loyal Customers
12562.0,20,2,1185.18,20,Low Risk,3,2,3,323,Regular Customers
12563.0,43,1,249.24,43,Low Risk,3,1,1,311,Regular Customers
12567.0,2,7,4308.58,2,Low Risk,4,4,4,444,VIP Customers
12568.0,279,1,70.0,279,High Risk,1,1,1,111,At Risk Customers
12570.0,317,1,77.52,317,High Risk,1,1,1,111,At Risk Customers
12573.0,16,4,556.87,16,Low Risk,4,3,2,432,Loyal Customers
12575.0,92,2,622.8199999999999,92,High Risk,2,2,2,222,At Risk Customers
12576.0,27,3,826.89,27,Low Risk,3,3,3,333,Loyal Customers
12577.0,16,5,990.5,16,Low Risk,4,3,3,433,Loyal Customers
12578.0,20,2,1847.94,20,Low Risk,3,2,4,324,Regular Customers
12580.0,211,1,637.2,211,High Risk,1,1,2,112,At Risk Customers
12582.0,57,2,1469.04,57,Low Risk,2,2,3,223,At Risk Customers
12583.0,8,13,7166.0599999999995,8,Low Risk,4,4,4,444,VIP Customers
12586.0,9,3,1865.73,9,Low Risk,4,3,4,434,Loyal Customers
12588.0,34,3,743.88,34,Low Risk,3,3,3,333,Loyal Customers
12589.0,56,6,4048.98,56,Low Risk,2,4,4,244,Loyal Customers
12591.0,25,2,886.1,25,Low Risk,3,2,3,323,Regular Customers
12592.0,154,3,2145.06,154,High Risk,1,3,4,134,Loyal Customers
12594.0,13,5,1751.89,13,Low Risk,4,3,4,434,Loyal Customers
12595.0,139,1,299.02,139,High Risk,1,1,1,111,At Risk Customers
12598.0,98,3,1511.01,98,High Risk,2,3,3,233,Loyal Customers
12599.0,16,6,1264.14,16,Low Risk,4,4,3,443,VIP Customers
12600.0,6,12,2444.88,6,Low Risk,4,4,4,444,VIP Customers
12601.0,39,1,104.19999999999999,39,Low Risk,3,1,1,311,Regular Customers
12605.0,11,4,1232.95,11,Low Risk,4,3,3,433,Loyal Customers
12606.0,317,1,21.0,317,High Risk,1,1,1,111,At Risk Customers
12608.0,39,1,415.79,39,Low Risk,3,1,2,312,Regular Customers
12609.0,9,6,2309.01,9,Low Risk,4,4,4,444,VIP Customers
12613.0,23,5,3472.9900000000002,23,Low Risk,3,3,4,334,Loyal Customers
12615.0,48,4,3449.79,48,Low Risk,3,3,4,334,Loyal Customers
12616.0,23,1,417.8,23,Low Risk,3,1,2,312,Regular Customers
12619.0,195,1,140.14,195,High Risk,1,1,1,111,At Risk Customers
12621.0,0,16,11086.14,0,Low Risk,4,4,4,444,VIP Customers
12623.0,51,6,3442.7400000000002,51,Low Risk,3,4,4,344,Loyal Customers
12625.0,144,2,2481.06,144,High Risk,1,2,4,124,At Risk Customers
12629.0,20,2,1558.22,20,Low Risk,3,2,3,323,Regular Customers
12631.0,91,5,2841.07,91,High Risk,2,3,4,234,Loyal Customers
12632.0,155,2,804.88,155,High Risk,1,2,3,123,At Risk Customers
12633.0,17,3,3514.18,17,Low Risk,4,3,4,434,Loyal Customers
12634.0,170,2,490.0,170,High Risk,1,2,2,122,At Risk Customers
12635.0,27,2,1241.23,27,Low Risk,3,2,3,323,Regular Customers
12636.0,373,1,141.0,373,High Risk,1,1,1,111,At Risk Customers
12637.0,13,4,2280.91,13,Low Risk,4,3,4,434,Loyal Customers
12638.0,274,1,249.8,274,High Risk,1,1,1,111,At Risk Customers
12639.0,69,2,826.27,69,Low Risk,2,2,3,223,At Risk Customers
12643.0,20,6,4960.18,20,Low Risk,3,4,4,344,Loyal Customers
12644.0,65,3,1440.58,65,Low Risk,2,3,3,233,Loyal Customers
12645.0,44,4,1764.12,44,Low Risk,3,3,4,334,Loyal Customers
12647.0,2,27,14201.53,2,Low Risk,4,4,4,444,VIP Customers
12648.0,72,3,793.95,72,Low Risk,2,3,3,233,Loyal Customers
12649.0,17,5,1671.1399999999999,17,Low Risk,4,3,3,433,Loyal Customers
12651.0,13,3,263.75,13,Low Risk,4,3,1,431,Loyal Customers
12652.0,69,1,97.05000000000001,69,Low Risk,2,1,1,211,At Risk Customers
12653.0,161,1,1950.98,161,High Risk,1,1,4,114,At Risk Customers
12655.0,58,1,261.35,58,Low Risk,2,1,1,211,At Risk Customers
12656.0,60,3,2356.66,60,Low Risk,2,3,4,234,Loyal Customers
12661.0,71,1,162.0,71,Low Risk,2,1,1,211,At Risk Customers
12662.0,8,10,3138.2400000000002,8,Low Risk,4,4,4,444,VIP Customers
12663.0,259,2,239.4,259,High Risk,1,2,1,121,At Risk Customers
12664.0,149,2,1188.16,149,High Risk,1,2,3,123,At Risk Customers
12665.0,52,2,250.6,52,Low Risk,3,2,1,321,Regular Customers
12666.0,29,1,1248.42,29,Low Risk,3,1,3,313,Regular Customers
12668.0,13,6,7575.88,13,Low Risk,4,4,4,444,VIP Customers
12670.0,20,2,764.24,20,Low Risk,3,2,3,323,Regular Customers
12671.0,241,1,2622.481,241,High Risk,1,1,4,114,At Risk Customers
12672.0,230,1,211.15,230,High Risk,1,1,1,111,At Risk Customers
12673.0,36,1,619.5,36,Low Risk,3,1,2,312,Regular Customers
12675.0,188,2,957.25,188,High Risk,1,2,3,123,At Risk Customers
12676.0,43,5,1511.7,43,Low Risk,3,3,3,333,Loyal Customers
12677.0,190,2,395.1,190,High Risk,1,2,2,122,At Risk Customers
12678.0,10,9,16652.72,10,Low Risk,4,4,4,444,VIP Customers
12681.0,2,24,17080.74,2,Low Risk,4,4,4,444,VIP Customers
12682.0,0,23,11745.69,0,Low Risk,4,4,4,444,VIP Customers
12683.0,0,8,4220.21,0,Low Risk,4,4,4,444,VIP Customers
12686.0,6,1,89.14,6,Low Risk,4,1,1,411,Regular Customers
12687.0,115,2,2138.91,115,High Risk,2,2,4,224,At Risk Customers
12691.0,55,1,134.6,55,Low Risk,2,1,1,211,At Risk Customers
12692.0,272,1,110.95,272,High Risk,1,1,1,111,At Risk Customers
12693.0,31,3,847.11,31,Low Risk,3,3,3,333,Loyal Customers
12694.0,56,1,973.68,56,Low Risk,2,1,3,213,At Risk Customers
12695.0,163,3,825.02,163,High Risk,1,3,3,133,Loyal Customers
12696.0,69,2,851.91,69,Low Risk,2,2,3,223,At Risk Customers
12698.0,225,1,339.75,225,High Risk,1,1,2,112,At Risk Customers
12699.0,52,1,638.11,52,Low Risk,3,1,2,312,Regular Customers
12701.0,164,4,1648.7,164,High Risk,1,3,3,133,Loyal Customers
12703.0,268,3,722.98,268,High Risk,1,3,3,133,Loyal Customers
12705.0,18,5,4893.81,18,Low Risk,3,3,4,334,Loyal Customers
12708.0,3,9,2601.19,3,Low Risk,4,4,4,444,VIP Customers
12709.0,1,20,21107.94,1,Low Risk,4,4,4,444,VIP Customers
12711.0,246,2,1339.05,246,High Risk,1,2,3,123,At Risk Customers
12712.0,0,10,2797.53,0,Low Risk,4,4,4,444,VIP Customers
12714.0,23,7,9384.85,23,Low Risk,3,4,4,344,Loyal Customers
12717.0,225,1,277.93,225,High Risk,1,1,1,111,At Risk Customers
12720.0,4,6,2478.94,4,Low Risk,4,4,4,444,VIP Customers
12721.0,20,2,1356.95,20,Low Risk,3,2,3,323,Regular Customers
12724.0,18,3,1286.11,18,Low Risk,3,3,3,333,Loyal Customers
12725.0,6,4,2266.76,6,Low Risk,4,3,4,434,Loyal Customers
12726.0,22,4,1405.5,22,Low Risk,3,3,3,333,Loyal Customers
12727.0,77,3,1698.8300000000002,77,Low Risk,2,3,3,233,Loyal Customers
12728.0,18,1,233.84,18,Low Risk,3,1,1,311,Regular Customers
12730.0,156,1,829.25,156,High Risk,1,1,3,113,At Risk Customers
12731.0,77,5,6879.8,77,Low Risk,2,3,4,234,Loyal Customers
12733.0,24,3,2040.92,24,Low Risk,3,3,4,334,Loyal Customers
12734.0,9,2,529.25,9,Low Risk,4,2,2,422,Regular Customers
12737.0,133,2,3710.5,133,High Risk,2,2,4,224,At Risk Customers
12738.0,7,1,155.35,7,Low Risk,4,1,1,411,Regular Customers
12739.0,20,2,1713.69,20,Low Risk,3,2,3,323,Regular Customers
12741.0,164,2,406.07,164,High Risk,1,2,2,122,At Risk Customers
12742.0,260,1,1201.52,260,High Risk,1,1,3,113,At Risk Customers
12744.0,94,4,4037.77,94,High Risk,2,3,4,234,Loyal Customers
12745.0,121,3,925.41,121,High Risk,2,3,3,233,Loyal Customers
12746.0,175,1,254.55,175,High Risk,1,1,1,111,At Risk Customers
12747.0,4,16,5061.03,4,Low Risk,4,4,4,444,VIP Customers
12748.0,0,144,22457.9,0,Low Risk,4,4,4,444,VIP Customers
12749.0,34,4,2806.48,34,Low Risk,3,3,4,334,Loyal Customers
12751.0,79,1,268.27,79,Low Risk,2,1,1,211,At Risk Customers
12755.0,0,10,5218.709999999999,0,Low Risk,4,4,4,444,VIP Customers
12758.0,94,5,7111.650000000001,94,High Risk,2,3,4,234,Loyal Customers
12759.0,21,5,3489.3,21,Low Risk,3,3,4,334,Loyal Customers
12760.0,90,1,347.8,90,Low Risk,2,1,2,212,At Risk Customers
12761.0,92,2,782.95,92,High Risk,2,2,3,223,At Risk Customers
12763.0,4,1,320.08,4,Low Risk,4,1,2,412,Regular Customers
12765.0,107,6,1404.58,107,High Risk,2,4,3,243,Loyal Customers
12766.0,1,3,3078.65,1,Low Risk,4,3,4,434,Loyal Customers
12767.0,10,1,949.82,10,Low Risk,4,1,3,413,Regular Customers
12768.0,85,1,168.69000000000003,85,Low Risk,2,1,1,211,At Risk Customers
12770.0,91,1,1895.0,91,High Risk,2,1,4,214,At Risk Customers
12771.0,120,1,282.3,120,High Risk,2,1,1,211,At Risk Customers
12773.0,199,1,124.25,199,High Risk,1,1,1,111,At Risk Customers
12774.0,170,1,98.7,170,High Risk,1,1,1,111,At Risk Customers
12775.0,23,2,300.08,23,Low Risk,3,2,1,321,Regular Customers
12776.0,302,1,55.5,302,High Risk,1,1,1,111,At Risk Customers
12777.0,92,1,519.45,92,High Risk,2,1,2,212,At Risk Customers
12778.0,31,3,953.45,31,Low Risk,3,3,3,333,Loyal Customers
12779.0,6,7,2740.91,6,Low Risk,4,4,4,444,VIP Customers
12780.0,233,1,337.4,233,High Risk,1,1,2,112,At Risk Customers
12782.0,9,6,2287.32,9,Low Risk,4,4,4,444,VIP Customers
12784.0,164,1,1230.33,164,High Risk,1,1,3,113,At Risk Customers
12785.0,170,2,788.45,170,High Risk,1,2,3,123,At Risk Customers
12786.0,244,1,728.5,244,High Risk,1,1,3,113,At Risk Customers
12787.0,48,1,398.52,48,Low Risk,3,1,2,312,Regular Customers
12788.0,98,4,444.9,98,High Risk,2,3,2,232,Loyal Customers
12789.0,147,2,181.5,147,High Risk,1,2,1,121,At Risk Customers
12790.0,45,1,266.93,45,Low Risk,3,1,1,311,Regular Customers
12791.0,8,6,863.51,8,Low Risk,4,4,3,443,VIP Customers
12792.0,169,1,426.47,169,High Risk,1,1,2,112,At Risk Customers
12793.0,6,2,471.85,6,Low Risk,4,2,2,422,Regular Customers
12796.0,263,1,381.0,263,High Risk,1,1,2,112,At Risk Customers
12797.0,0,2,552.08,0,Low Risk,4,2,2,422,Regular Customers
12798.0,56,1,1533.8899999999999,56,Low Risk,2,1,3,213,At Risk Customers
12799.0,164,1,219.35,164,High Risk,1,1,1,111,At Risk Customers
12800.0,105,3,584.25,105,High Risk,2,3,2,232,Loyal Customers
12801.0,135,1,1071.82,135,High Risk,2,1,3,213,At Risk Customers
12802.0,77,6,1988.84,77,Low Risk,2,4,4,244,Loyal Customers
12803.0,28,1,1092.81,28,Low Risk,3,1,3,313,Regular Customers
12804.0,100,2,325.37,100,High Risk,2,2,2,222,At Risk Customers
12805.0,16,4,1434.95,16,Low Risk,4,3,3,433,Loyal Customers
12806.0,70,4,2878.96,70,Low Risk,2,3,4,234,Loyal Customers
12807.0,18,1,330.35,18,Low Risk,3,1,2,312,Regular Customers
12808.0,3,3,422.45,3,Low Risk,4,3,2,432,Loyal Customers
12809.0,200,2,1266.63,200,High Risk,1,2,3,123,At Risk Customers
12810.0,169,2,534.99,169,High Risk,1,2,2,122,At Risk Customers
12811.0,13,2,519.05,13,Low Risk,4,2,2,422,Regular Customers
12813.0,136,3,1687.8,136,High Risk,1,3,3,133,Loyal Customers
12817.0,34,2,524.94,34,Low Risk,3,2,2,322,Regular Customers
12819.0,93,1,540.52,93,High Risk,2,1,2,212,At Risk Customers
12820.0,32,7,1747.18,32,Low Risk,3,4,4,344,Loyal Customers
12821.0,246,1,128.07999999999998,246,High Risk,1,1,1,111,At Risk Customers
12823.0,29,13,4742.0,29,Low Risk,3,4,4,344,Loyal Customers
12825.0,156,2,518.63,156,High Risk,1,2,2,122,At Risk Customers
12826.0,0,6,1481.03,0,Low Risk,4,4,3,443,VIP Customers
12829.0,185,1,92.30000000000001,185,High Risk,1,1,1,111,At Risk Customers
12831.0,98,2,236.06,98,High Risk,2,2,1,221,At Risk Customers
12835.0,62,41,5996.83,62,Low Risk,2,4,4,244,Loyal Customers
12836.0,24,11,3949.37,24,Low Risk,3,4,4,344,Loyal Customers
12837.0,204,1,528.5600000000001,204,High Risk,1,1,2,112,At Risk Customers
12838.0,8,9,2694.75,8,Low Risk,4,4,4,444,VIP Customers
12839.0,2,13,4480.31,2,Low Risk,4,4,4,444,VIP Customers
12840.0,72,3,1315.2,72,Low Risk,2,3,3,233,Loyal Customers
12841.0,4,17,3472.61,4,Low Risk,4,4,4,444,VIP Customers
12842.0,39,2,799.0,39,Low Risk,3,2,3,323,Regular Customers
12843.0,17,22,4881.1,17,Low Risk,4,4,4,444,VIP Customers
12844.0,77,2,322.64,77,Low Risk,2,2,2,222,At Risk Customers
12846.0,317,1,15.58,317,High Risk,1,1,1,111,At Risk Customers
12847.0,22,1,765.36,22,Low Risk,3,1,3,313,Regular Customers
12848.0,310,1,208.0,310,High Risk,1,1,1,111,At Risk Customers
12849.0,16,4,2032.18,16,Low Risk,4,3,4,434,Loyal Customers
12850.0,80,1,330.0,80,Low Risk,2,1,2,212,At Risk Customers
12851.0,112,1,148.95,112,High Risk,2,1,1,211,At Risk Customers
12853.0,62,5,1950.4,62,Low Risk,2,3,4,234,Loyal Customers
12854.0,196,4,1654.72,196,High Risk,1,3,3,133,Loyal Customers
12855.0,7,4,612.84,7,Low Risk,4,3,2,432,Loyal Customers
12857.0,71,4,2581.6,71,Low Risk,2,3,4,234,Loyal Customers
12858.0,18,1,147.27,18,Low Risk,3,1,1,311,Regular Customers
12859.0,93,1,575.1,93,High Risk,2,1,2,212,At Risk Customers
12860.0,328,1,54.22,328,High Risk,1,1,1,111,At Risk Customers
12861.0,254,1,68.25,254,High Risk,1,1,1,111,At Risk Customers
12862.0,60,2,984.62,60,Low Risk,2,2,3,223,At Risk Customers
12863.0,14,5,2271.35,14,Low Risk,4,3,4,434,Loyal Customers
12864.0,143,1,152.45,143,High Risk,1,1,1,111,At Risk Customers
12865.0,13,2,1755.24,13,Low Risk,4,2,4,424,Regular Customers
12866.0,109,2,668.23,109,High Risk,2,2,2,222,At Risk Customers
12867.0,32,6,3819.92,32,Low Risk,3,4,4,344,Loyal Customers
12868.0,8,3,640.0,8,Low Risk,4,3,2,432,Loyal Customers
12869.0,316,1,337.66999999999996,316,High Risk,1,1,2,112,At Risk Customers
12870.0,10,3,1676.95,10,Low Risk,4,3,3,433,Loyal Customers
12871.0,74,1,363.38,74,Low Risk,2,1,2,212,At Risk Customers
12872.0,0,11,3062.52,0,Low Risk,4,4,4,444,VIP Customers
12873.0,32,2,1653.3,32,Low Risk,3,2,3,323,Regular Customers
12874.0,20,2,948.42,20,Low Risk,3,2,3,323,Regular Customers
12875.0,106,3,1013.76,106,High Risk,2,3,3,233,Loyal Customers
12876.0,29,2,1863.77,29,Low Risk,3,2,4,324,Regular Customers
12877.0,36,8,1406.3700000000001,36,Low Risk,3,4,3,343,Loyal Customers
12880.0,16,2,640.13,16,Low Risk,4,2,2,422,Regular Customers
12887.0,18,1,222.4,18,Low Risk,3,1,1,311,Regular Customers
12889.0,16,4,385.46000000000004,16,Low Risk,4,3,2,432,Loyal Customers
12890.0,22,1,329.3,22,Low Risk,3,1,2,312,Regular Customers
12891.0,93,8,509.5,93,High Risk,2,4,2,242,Loyal Customers
12892.0,31,1,263.38,31,Low Risk,3,1,1,311,Regular Customers
12894.0,210,1,157.35,210,High Risk,1,1,1,111,At Risk Customers
12897.0,16,2,297.75,16,Low Risk,4,2,1,421,Regular Customers
12898.0,98,2,296.21000000000004,98,High Risk,2,2,1,221,At Risk Customers
12899.0,48,1,366.4,48,Low Risk,3,1,2,312,Regular Customers
12900.0,57,1,340.33,57,Low Risk,2,1,2,212,At Risk Customers
12903.0,63,1,833.53,63,Low Risk,2,1,3,213,At Risk Customers
12905.0,211,2,1018.42,211,High Risk,1,2,3,123,At Risk Customers
12907.0,30,2,508.91,30,Low Risk,3,2,2,322,Regular Customers
12908.0,15,3,1026.0,15,Low Risk,4,3,3,433,Loyal Customers
12909.0,59,3,924.52,59,Low Risk,2,3,3,233,Loyal Customers
12910.0,14,5,2721.48,14,Low Risk,4,3,4,434,Loyal Customers
12911.0,186,1,1651.72,186,High Risk,1,1,3,113,At Risk Customers
12913.0,3,9,4217.2300000000005,3,Low Risk,4,4,4,444,VIP Customers
12914.0,35,1,223.98,35,Low Risk,3,1,1,311,Regular Customers
12915.0,7,3,811.1,7,Low Risk,4,3,3,433,Loyal Customers
12916.0,77,3,1534.78,77,Low Risk,2,3,3,233,Loyal Customers
